id,name,synonyms
9361075,Mobile Phone Shop,"['Cell Phone Shop', 'Cell Phone Store', 'Smart Phones', 'Cell Phones']"
7315110,Mongolian Restaurant,"['Mongolian Cuisine', 'Mongolian Food']"
7376003,Monument,[]
7315074,Moroccan Restaurant,"['Moroccan Cuisine', 'Moroccan Food']"
7339003,Mosque,['Masjid']
7314006,Motel,[]
7374011,Motor Racing Stadium,"['Motor Racing Circuit', 'Motor Racing Track', 'Motorsport', 'Motor Sport', 'Motor Racing', 'Motorsport Circuit']"
9910003,Motorcycle Dealer,"['Motorbike Sales', 'Motorbike Dealer', 'Motorcycle Sales', 'Bike Dealer', 'Motor Cycle Dealer', 'Scooter Dealer']"
7310008,Motorcycle Repair,"['Motorbike Servicing', 'Motorcycle Servicing', 'Motorbike Repair']"
7302002,Mountain Bike Trail,['Mountain Bike Path']
8099002,Mountain Peak,"['Mountain Top', 'Mountain Summit', 'Mountain Crest', 'Mountain Crown', 'Mountain Tip']"
9352033,Moving & Storage Company,[]
7374006,Multi-Purpose Stadium,[]
7318003,Music Center,['Music Centre']
9361059,Music Instruments Store,"['Musical Instruments Store', 'Music Instruments Shop', 'Musical Instruments Shop']"
7315136,Mussels Restaurant,['Mussels']
9361068,Nail Salon,"['Manicure', 'Nail Bar', 'Pedicure', 'Nails']"
7380003,National Railroad Station,['National Railway Station']
9362030,Natural Recreation Attraction,['Natural Attraction']
7315111,Nepalese Restaurant,"['Nepalese Food', 'Nepalese Cuisine']"
7374014,Netball Stadium,"['Netball Ground', 'Netball Court', 'Netball Arena']"
9361037,Newsagents & Tobacconists,[]
7315112,Norwegian Restaurant,"['Norwegian Cuisine', 'Norwegian Food']"
8099011,Oasis,[]
7376005,Observatory,[]
9352021,OEM,['Original Equipment Manufacturer']
9352030,Oil & Natural Gas,"['Oil & Natural Gas Company', 'Oil Company']"
7318004,Opera House,['Opera']
9361038,Optician,['Optometrist']
7315075,Organic Food Restaurant,"['Organic Food', 'Organic Restaurant', 'Organic Cuisine']"
7315035,Oriental Restaurant,"['Oriental Cuisine', 'Oriental Food']"
7310005,Other Repair Shops,[]
9362025,Other Winter Sport,[]
7339008,Pagoda,[]
